소재지(시군구)별(1),소재지(시군구)별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
소재지(시군구)별(1),소재지(시군구)별(2),준주거지역,준주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,상업지역,상업지역,상업지역,상업지역,상업지역
소재지(시군구)별(1),소재지(시군구)별(2),소계,소계,소계,소계,중심상업,중심상업,일반상업,일반상업,근린상업,근린상업,유통상업,유통상업
소재지(시군구)별(1),소재지(시군구)별(2),건폐율 (%),용적률 (%),건폐율 (%),용적률 (%),건폐율 (%),용적률 (%),건폐율 (%),용적률 (%),건폐율 (%),용적률 (%),건폐율 (%),용적률 (%)
서울특별시,서울특별시,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,종로구,60,400,0,0,60,800,60,600,60,500,60,500
서울특별시,중구,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,용산구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,성동구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,광진구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,동대문구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,중랑구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,성북구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,강북구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,도봉구,60,400,0,0,60,600,60,1000,60,800,60,600
서울특별시,노원구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,은평구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,서대문구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,마포구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,양천구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,강서구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,구로구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,금천구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,영등포구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,동작구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,관악구,60,400,0,0,60,600,60,1000,60,800,60,600
서울특별시,서초구,60,400,0,0,0,0,60,800,0,0,0,0
서울특별시,강남구,60,400,0,0,60,1000,60,800,60,600,60,600
서울특별시,송파구,60,400,0,0,60,600,60,1000,60,800,60,600
서울특별시,강동구,60,400,0,0,60,600,60,1000,60,800,60,600
